Inicializando testes

ALGORITMO;CENÁRIO;TAMANHO;TEMPO MÉDIO EM MS;MÉDIA DE COMPARAÇÕES;MÉDIA DE MOVIMENTAÇÕES;ESTABILIDADE
BolhaInteligente;Aleatorio;1000;2.3083;498419;496597;Sim
BolhaInteligente;Aleatorio;5000;84.1046;12492386;12486865;Sim
BolhaInteligente;Aleatorio;10000;361.5608;49984278;50049187;Sim
BolhaInteligente;Aleatorio;15000;1041.3134;112480533;112443794;Sim
BolhaInteligente;Crescente;1000;0.0000;999;0;Sim
BolhaInteligente;Crescente;5000;0.0000;4999;0;Sim
BolhaInteligente;Crescente;10000;0.0000;9999;0;Sim
BolhaInteligente;Crescente;15000;0.0000;14999;0;Sim
BolhaInteligente;Quase_Ordenado;1000;1.8803;491911;115502;Sim
BolhaInteligente;Quase_Ordenado;5000;49.4003;12478892;2876577;Sim
BolhaInteligente;Quase_Ordenado;10000;200.7085;49949994;11739070;Sim
BolhaInteligente;Quase_Ordenado;15000;429.8839;112423591;26858454;Sim
BolhaInteligente;Decrescente;1000;0.0000;499500;997940;Sim
BolhaInteligente;Decrescente;5000;75.4620;12497500;24989782;Sim
BolhaInteligente;Decrescente;10000;281.8430;49995000;99979482;Sim
BolhaInteligente;Decrescente;15000;691.0120;112492499;224969732;Sim

Selecao;Aleatorio;1000;1.3928;499499;1983;Nao
Selecao;Aleatorio;5000;32.0348;12497499;9980;Nao
Selecao;Aleatorio;10000;123.6302;49994999;19978;Nao
Selecao;Aleatorio;15000;292.5324;112492499;29980;Nao
Selecao;Crescente;1000;0.0000;499499;0;Sim
Selecao;Crescente;5000;19.8660;12497499;0;Sim
Selecao;Crescente;10000;121.0640;49994999;0;Sim
Selecao;Crescente;15000;300.8250;112492499;0;Sim
Selecao;Quase_Ordenado;1000;1.4873;499499;295;Nao
Selecao;Quase_Ordenado;5000;33.1205;12497499;1478;Nao
Selecao;Quase_Ordenado;10000;134.3216;49994999;3007;Nao
Selecao;Quase_Ordenado;15000;315.4114;112492499;4551;Nao
Selecao;Decrescente;1000;0.0000;499499;1220;Nao
Selecao;Decrescente;5000;47.6490;12497499;6192;Nao
Selecao;Decrescente;10000;243.3790;49994999;12518;Nao
Selecao;Decrescente;15000;545.0300;112492499;18856;Nao

Insercao;Aleatorio;1000;0.9496;249293;249290;Sim
Insercao;Aleatorio;5000;27.9918;6248427;6248422;Sim
Insercao;Aleatorio;10000;110.7743;25034587;25034582;Sim
Insercao;Aleatorio;15000;264.1523;56236891;56236885;Sim
Insercao;Crescente;1000;0.0000;999;0;Sim
Insercao;Crescente;5000;0.0000;4999;0;Sim
Insercao;Crescente;10000;0.0000;9999;0;Sim
Insercao;Crescente;15000;0.0000;14999;0;Sim
Insercao;Quase_Ordenado;1000;0.3402;58750;58736;Sim
Insercao;Quase_Ordenado;5000;6.3701;1443287;1443272;Sim
Insercao;Quase_Ordenado;10000;25.7181;5879533;5879516;Sim
Insercao;Quase_Ordenado;15000;60.2522;13444225;13444211;Sim
Insercao;Decrescente;1000;4.1260;499349;499969;Sim
Insercao;Decrescente;5000;55.6650;12496767;12499889;Sim
Insercao;Decrescente;10000;215.1260;49993498;49999740;Sim
Insercao;Decrescente;15000;478.1830;112490432;112499865;Sim

MergeSort;Aleatorio;1000;0.2413;8707;19952;Nao
MergeSort;Aleatorio;5000;1.3171;55207;123616;Nao
MergeSort;Aleatorio;10000;2.7666;120457;267232;Nao
MergeSort;Aleatorio;15000;4.4503;189293;417232;Nao
MergeSort;Crescente;1000;0.0000;5250;19952;Nao
MergeSort;Crescente;5000;2.0070;32819;123616;Nao
MergeSort;Crescente;10000;4.0140;70559;267232;Nao
MergeSort;Crescente;15000;2.2900;109241;417232;Nao
MergeSort;Quase_Ordenado;1000;0.2340;8146;19952;Nao
MergeSort;Quase_Ordenado;5000;0.6572;52800;123616;Nao
MergeSort;Quase_Ordenado;10000;2.4280;115362;267232;Nao
MergeSort;Quase_Ordenado;15000;3.3660;181185;417232;Nao
MergeSort;Decrescente;1000;0.0000;4932;19952;Nao
MergeSort;Decrescente;5000;2.0050;29804;123616;Nao
MergeSort;Decrescente;10000;2.0050;64608;267232;Nao
MergeSort;Decrescente;15000;4.0110;102252;417232;Nao

QuickSort;Aleatorio;1000;0.1336;11343;9899;Nao
QuickSort;Aleatorio;5000;0.6415;75843;67926;Nao
QuickSort;Aleatorio;10000;1.8619;165220;145825;Nao
QuickSort;Aleatorio;15000;2.4259;258478;234417;Nao
QuickSort;Crescente;1000;2.0050;499500;1998;Sim
QuickSort;Crescente;5000;36.5690;12497500;9998;Sim
QuickSort;Crescente;10000;145.1430;49995000;19998;Sim
QuickSort;Crescente;15000;327.3180;112492500;29998;Sim
QuickSort;Quase_Ordenado;1000;0.0376;23552;7080;Nao
QuickSort;Quase_Ordenado;5000;0.8063;142744;47137;Nao
QuickSort;Quase_Ordenado;10000;1.2108;346459;109640;Nao
QuickSort;Quase_Ordenado;15000;2.5544;478859;173239;Nao
QuickSort;Decrescente;1000;10.7410;386985;159808;Nao
QuickSort;Decrescente;5000;19.2810;9831627;3843032;Nao
QuickSort;Decrescente;10000;158.7740;39657056;15054666;Nao
QuickSort;Decrescente;15000;340.4590;89766122;34698202;Nao

ShellSort;Aleatorio;1000;0.1893;15336;11210;Nao
ShellSort;Aleatorio;5000;1.2163;115291;86079;Nao
ShellSort;Aleatorio;10000;2.7475;266806;203937;Nao
ShellSort;Aleatorio;15000;4.4985;410885;321165;Nao
ShellSort;Crescente;1000;1.1280;8006;0;Sim
ShellSort;Crescente;5000;0.0000;55005;0;Sim
ShellSort;Crescente;10000;1.1410;120005;0;Sim
ShellSort;Crescente;15000;0.0000;180007;0;Sim
ShellSort;Quase_Ordenado;1000;0.0380;12839;7662;Nao
ShellSort;Quase_Ordenado;5000;0.8366;97544;63149;Nao
ShellSort;Quase_Ordenado;10000;2.4900;227497;154244;Nao
ShellSort;Quase_Ordenado;15000;4.2392;352761;247226;Nao
ShellSort;Decrescente;1000;0.0000;12454;8676;Nao
ShellSort;Decrescente;5000;0.0000;82770;55276;Nao
ShellSort;Decrescente;10000;2.0070;180545;120564;Nao
ShellSort;Decrescente;15000;2.0060;274256;186376;Nao

HeapSort;Aleatorio;1000;0.1867;16851;18167;Nao
HeapSort;Aleatorio;5000;1.3202;107677;114211;Nao
HeapSort;Aleatorio;10000;2.8453;235351;248385;Nao
HeapSort;Aleatorio;15000;3.7599;370332;389860;Nao
HeapSort;Crescente;1000;0.0000;17543;19332;Nao
HeapSort;Crescente;5000;1.2300;112100;121212;Nao
HeapSort;Crescente;10000;2.5160;244395;262520;Nao
HeapSort;Crescente;15000;2.4640;383180;409984;Nao
HeapSort;Quase_Ordenado;1000;0.1846;17393;19147;Nao
HeapSort;Quase_Ordenado;5000;1.1348;111181;119899;Nao
HeapSort;Quase_Ordenado;10000;2.0144;242534;259996;Nao
HeapSort;Quase_Ordenado;15000;3.0495;380359;406540;Nao
HeapSort;Decrescente;1000;0.0000;15982;16642;Nao
HeapSort;Decrescente;5000;1.0460;103239;106842;Nao
HeapSort;Decrescente;10000;2.1290;226569;233230;Nao
HeapSort;Decrescente;15000;3.3590;357722;368192;Nao

mergeSortCorrigido;Aleatorio;1000;0.3060;8708;19952;Sim
mergeSortCorrigido;Aleatorio;5000;1.8210;55208;123616;Sim
mergeSortCorrigido;Aleatorio;10000;3.7768;120458;267232;Sim
mergeSortCorrigido;Aleatorio;15000;5.2190;189293;417232;Sim
mergeSortCorrigido;Crescente;1000;0.0000;5044;19952;Sim
