ALGORITMO,TAMANHO,Aleatorio,Crescente,Decrescente,Quase_Ordenado
BolhaInteligente,1000.0,498419.0,999.0,499500.0,491911.0
BolhaInteligente,5000.0,12492386.0,4999.0,12497500.0,12478892.0
BolhaInteligente,10000.0,49984278.0,9999.0,49995000.0,49949994.0
HeapSort,1000.0,16851.0,17543.0,15982.0,17393.0
HeapSort,5000.0,107677.0,112100.0,103239.0,111181.0
HeapSort,10000.0,235351.0,244395.0,226569.0,242534.0
Insercao,1000.0,249293.0,999.0,499349.0,58750.0
Insercao,5000.0,6248427.0,4999.0,12496767.0,1443287.0
Insercao,10000.0,25034587.0,9999.0,49993498.0,5879533.0
MergeSort,1000.0,8707.0,5250.0,4932.0,8146.0
MergeSort,5000.0,55207.0,32819.0,29804.0,52800.0
MergeSort,10000.0,120457.0,70559.0,64608.0,115362.0
QuickSort,1000.0,11343.0,499500.0,386985.0,23552.0
QuickSort,5000.0,75843.0,12497500.0,9831627.0,142744.0
QuickSort,10000.0,165220.0,49995000.0,39657056.0,346459.0
Selecao,1000.0,499499.0,499499.0,499499.0,499499.0
Selecao,5000.0,12497499.0,12497499.0,12497499.0,12497499.0
Selecao,10000.0,49994999.0,49994999.0,49994999.0,49994999.0
ShellSort,1000.0,15336.0,8006.0,12454.0,12839.0
ShellSort,5000.0,115291.0,55005.0,82770.0,97544.0
ShellSort,10000.0,266806.0,120005.0,180545.0,227497.0
