ALGORITMO,TAMANHO,Aleatorio,Crescente,Decrescente,Quase_Ordenado
BolhaInteligente,1000.0,496597.0,0.0,997940.0,115502.0
BolhaInteligente,5000.0,12486865.0,0.0,24989782.0,2876577.0
BolhaInteligente,10000.0,50049187.0,0.0,99979482.0,11739070.0
HeapSort,1000.0,18167.0,19332.0,16642.0,19147.0
HeapSort,5000.0,114211.0,121212.0,106842.0,119899.0
HeapSort,10000.0,248385.0,262520.0,233230.0,259996.0
Insercao,1000.0,249290.0,0.0,499969.0,58736.0
Insercao,5000.0,6248422.0,0.0,12499889.0,1443272.0
Insercao,10000.0,25034582.0,0.0,49999740.0,5879516.0
MergeSort,1000.0,19952.0,19952.0,19952.0,19952.0
MergeSort,5000.0,123616.0,123616.0,123616.0,123616.0
MergeSort,10000.0,267232.0,267232.0,267232.0,267232.0
QuickSort,1000.0,9899.0,1998.0,159808.0,7080.0
QuickSort,5000.0,67926.0,9998.0,3843032.0,47137.0
QuickSort,10000.0,145825.0,19998.0,15054666.0,109640.0
Selecao,1000.0,1983.0,0.0,1220.0,295.0
Selecao,5000.0,9980.0,0.0,6192.0,1478.0
Selecao,10000.0,19978.0,0.0,12518.0,3007.0
ShellSort,1000.0,11210.0,0.0,8676.0,7662.0
ShellSort,5000.0,86079.0,0.0,55276.0,63149.0
ShellSort,10000.0,203937.0,0.0,120564.0,154244.0
