ALGORITMO,TAMANHO,Aleatorio,Crescente,Decrescente,Quase_Ordenado
BolhaInteligente,1000.0,3.1799,0.0,0.0,1.7685
BolhaInteligente,5000.0,79.5932,0.0,65.809,49.1957
BolhaInteligente,10000.0,303.1897,0.0,268.64,148.986
HeapSort,1000.0,0.217,0.0,0.0,0.0
HeapSort,5000.0,0.8827,0.0,0.0,1.3424
HeapSort,10000.0,2.1089,0.0,0.0,1.0466
Insercao,1000.0,1.048,0.0,2.151,0.4854
Insercao,5000.0,21.6525,0.0,52.311,4.7501
Insercao,10000.0,82.0197,0.0,157.264,20.5909
MergeSort,1000.0,0.0,0.0,0.0,0.0
MergeSort,5000.0,1.3167,1.555,1.429,0.9652
MergeSort,10000.0,1.5695,0.0,0.0,3.7773
QuickSort,1000.0,0.5354,8.023,0.0,0.0
QuickSort,5000.0,0.7016,34.329,28.826,0.6562
QuickSort,10000.0,1.5842,110.326,110.307,1.5869
Selecao,1000.0,1.0471,0.0,17.108,1.1008
Selecao,5000.0,33.3625,30.773,61.58,36.1871
Selecao,10000.0,112.3657,107.369,170.458,112.4579
ShellSort,1000.0,0.0,0.0,0.0,0.4843
ShellSort,5000.0,1.937,0.0,0.0,0.6763
ShellSort,10000.0,2.0932,0.0,0.0,2.366
