Inicializando testes

ALGORITMO;CENÁRIO;TAMANHO;TEMPO MÉDIO EM MS;MÉDIA DE COMPARAÇÕES;MÉDIA DE MOVIMENTAÇÕES;ESTABILIDADE
BolhaInteligente;Aleatorio;1000;4.1885;498419;496597;Sim
BolhaInteligente;Aleatorio;5000;71.8119;12492386;12486865;Sim
BolhaInteligente;Aleatorio;10000;338.9213;49984278;50049187;Sim
BolhaInteligente;Aleatorio;15000;843.0002;112480533;112443794;Sim
BolhaInteligente;Crescente;1000;0.0030;999;0;Sim
BolhaInteligente;Crescente;5000;0.0140;4999;0;Sim
BolhaInteligente;Crescente;10000;0.0280;9999;0;Sim
BolhaInteligente;Crescente;15000;0.0410;14999;0;Sim
BolhaInteligente;Quase_Ordenado;1000;1.6513;491911;115502;Nao
BolhaInteligente;Quase_Ordenado;5000;44.3351;12478892;2876577;Nao
BolhaInteligente;Quase_Ordenado;10000;189.1538;49949994;11739070;Nao
BolhaInteligente;Quase_Ordenado;15000;426.5248;112423591;26858454;Nao
BolhaInteligente;Decrescente;1000;2.7800;499500;997940;Sim
BolhaInteligente;Decrescente;5000;82.3250;12497500;24989782;Sim
BolhaInteligente;Decrescente;10000;285.1980;49995000;99979482;Sim
BolhaInteligente;Decrescente;15000;637.8740;112492499;224969732;Sim

Selecao;Aleatorio;1000;1.4802;499499;1983;Nao
Selecao;Aleatorio;5000;38.5586;12497499;9980;Nao
Selecao;Aleatorio;10000;141.9710;49994999;19978;Nao
Selecao;Aleatorio;15000;319.8599;112492499;29980;Nao
Selecao;Crescente;1000;1.4210;499499;0;Sim
Selecao;Crescente;5000;35.2730;12497499;0;Sim
Selecao;Crescente;10000;138.9600;49994999;0;Sim
Selecao;Crescente;15000;317.2010;112492499;0;Sim
Selecao;Quase_Ordenado;1000;1.4269;499499;295;Nao
Selecao;Quase_Ordenado;5000;35.8054;12497499;1478;Nao
Selecao;Quase_Ordenado;10000;140.5919;49994999;3007;Nao
Selecao;Quase_Ordenado;15000;317.8558;112492499;4551;Nao
Selecao;Decrescente;1000;1.5350;499499;1220;Nao
Selecao;Decrescente;5000;44.8080;12497499;6192;Nao
Selecao;Decrescente;10000;212.1320;49994999;12518;Nao
Selecao;Decrescente;15000;507.8950;112492499;18856;Nao

Insercao;Aleatorio;1000;0.9684;249293;249290;Sim
Insercao;Aleatorio;5000;23.8764;6248427;6248422;Sim
Insercao;Aleatorio;10000;95.9483;25034587;25034582;Sim
Insercao;Aleatorio;15000;210.0552;56236891;56236885;Sim
Insercao;Crescente;1000;0.0050;999;0;Sim
Insercao;Crescente;5000;0.0240;4999;0;Sim
Insercao;Crescente;10000;0.0470;9999;0;Sim
